{'loss': 0.6724, 'grad_norm': 1.9948503971099854, 'learning_rate': 2.777777777777778e-05, 'epoch': 0.08}                                             
{'loss': 0.4474, 'grad_norm': 3.7729218006134033, 'learning_rate': 1.3941086846114778e-05, 'epoch': 7.25}                                            
{'loss': 0.4502, 'grad_norm': 5.804327964782715, 'learning_rate': 1.3517860165904857e-05, 'epoch': 7.34}                                             
{'loss': 0.4534, 'grad_norm': 4.480161190032959, 'learning_rate': 1.3094633485694938e-05, 'epoch': 7.42}                                             
{'loss': 0.4538, 'grad_norm': 4.179288387298584, 'learning_rate': 1.2671406805485017e-05, 'epoch': 7.5}                                              
{'loss': 0.4482, 'grad_norm': 4.399037837982178, 'learning_rate': 1.2248180125275098e-05, 'epoch': 7.59}                                             
{'loss': 0.4509, 'grad_norm': 5.249915599822998, 'learning_rate': 1.1824953445065177e-05, 'epoch': 7.67}                                             
{'loss': 0.4493, 'grad_norm': 3.8396518230438232, 'learning_rate': 1.1401726764855257e-05, 'epoch': 7.75}                                            
{'loss': 0.4495, 'grad_norm': 4.451310157775879, 'learning_rate': 1.0978500084645336e-05, 'epoch': 7.84}                                             
{'loss': 0.4493, 'grad_norm': 4.3161468505859375, 'learning_rate': 1.0555273404435416e-05, 'epoch': 7.92}                                            
{'eval_loss': 0.5505405068397522, 'eval_accuracy': 0.731, 'eval_f1': 0.719, 'eval_precision': 0.752, 'eval_recall': 0.688, 'eval_runtime': 41.833, 'eval_samples_per_second': 1148.423, 'eval_steps_per_second': 143.571, 'epoch': 8.0}                                                                   
{'loss': 0.4453, 'grad_norm': 3.2780590057373047, 'learning_rate': 1.0132046724225496e-05, 'epoch': 8.0}                                             
{'loss': 0.4237, 'grad_norm': 2.298231363296509, 'learning_rate': 9.708820044015575e-06, 'epoch': 8.09}                                              
{'loss': 0.4138, 'grad_norm': 6.58087158203125, 'learning_rate': 9.285593363805654e-06, 'epoch': 8.17}                                               
{'loss': 0.422, 'grad_norm': 5.214598178863525, 'learning_rate': 8.862366683595733e-06, 'epoch': 8.25}                                               
{'loss': 0.4182, 'grad_norm': 5.483169078826904, 'learning_rate': 8.439140003385814e-06, 'epoch': 8.34}                                              
{'loss': 0.428, 'grad_norm': 4.454060077667236, 'learning_rate': 8.015913323175893e-06, 'epoch': 8.42}                                               
{'loss': 0.4243, 'grad_norm': 6.2986040115356445, 'learning_rate': 7.592686642965972e-06, 'epoch': 8.5}                                              
{'loss': 0.4322, 'grad_norm': 7.350057125091553, 'learning_rate': 7.169459962756052e-06, 'epoch': 8.59}                                              
{'loss': 0.426, 'grad_norm': 5.125879287719727, 'learning_rate': 6.746233282546131e-06, 'epoch': 8.67}                                               
{'loss': 0.4264, 'grad_norm': 4.736178874969482, 'learning_rate': 6.323006602336212e-06, 'epoch': 8.75}                                              
{'loss': 0.4293, 'grad_norm': 5.101776123046875, 'learning_rate': 5.899779922126291e-06, 'epoch': 8.84}                                              
{'loss': 0.4242, 'grad_norm': 4.272558689117432, 'learning_rate': 5.4765532419163705e-06, 'epoch': 8.92}                                             
{'eval_loss': 0.5524385571479797, 'eval_accuracy': 0.732, 'eval_f1': 0.72, 'eval_precision': 0.751, 'eval_recall': 0.693, 'eval_runtime': 41.8569, 'eval_samples_per_second': 1147.768, 'eval_steps_per_second': 143.489, 'epoch': 9.0}                                                                   
{'loss': 0.421, 'grad_norm': 2.8743886947631836, 'learning_rate': 5.05332656170645e-06, 'epoch': 9.0}                                                
{'loss': 0.4, 'grad_norm': 6.936585426330566, 'learning_rate': 4.63009988149653e-06, 'epoch': 9.09}                                                  
{'loss': 0.3969, 'grad_norm': 5.916508674621582, 'learning_rate': 4.206873201286609e-06, 'epoch': 9.17}                                              
{'loss': 0.405, 'grad_norm': 6.638454437255859, 'learning_rate': 3.7836465210766893e-06, 'epoch': 9.25}                                              
{'loss': 0.4028, 'grad_norm': 8.393536567687988, 'learning_rate': 3.360419840866769e-06, 'epoch': 9.34}                                              
{'loss': 0.3992, 'grad_norm': 3.993506908416748, 'learning_rate': 2.937193160656848e-06, 'epoch': 9.42}                                              
{'loss': 0.4006, 'grad_norm': 4.68251895904541, 'learning_rate': 2.5139664804469276e-06, 'epoch': 9.5}                                               
{'loss': 0.3998, 'grad_norm': 4.505127906799316, 'learning_rate': 2.090739800237007e-06, 'epoch': 9.59}                                              
{'loss': 0.4092, 'grad_norm': 7.999983310699463, 'learning_rate': 1.6675131200270865e-06, 'epoch': 9.67}                                             
{'loss': 0.4035, 'grad_norm': 8.201722145080566, 'learning_rate': 1.244286439817166e-06, 'epoch': 9.75}                                              
{'loss': 0.4023, 'grad_norm': 7.22202205657959, 'learning_rate': 8.210597596072457e-07, 'epoch': 9.84}                                               
{'loss': 0.397, 'grad_norm': 6.1138691902160645, 'learning_rate': 3.978330793973252e-07, 'epoch': 9.92}                                              
{'eval_loss': 0.5725574493408203, 'eval_accuracy': 0.732, 'eval_f1': 0.721, 'eval_precision': 0.751, 'eval_recall': 0.694, 'eval_runtime': 41.7841, 'eval_samples_per_second': 1149.769, 'eval_steps_per_second': 143.739, 'epoch': 10.0}                                                                 
{'train_runtime': 3990.4334, 'train_samples_per_second': 480.893, 'train_steps_per_second': 15.028, 'train_loss': 0.5047563286648207, 'epoch': 10.0}
